X,Y,Z
0.49900,7.42995,0.19301
-4.25994,9.38425,-6.40736
-5.13555,12.85036,-4.25278
-5.92669,-7.11115,-6.68223
-5.68768,-3.79586,-6.51792
-5.47156,-4.92868,-6.89260
-2.02495,-3.87239,-3.12335
-1.01111,-5.79691,-2.54552
-1.41311,-4.99441,-2.41693
2.99145,-4.48699,1.41208
2.53151,-5.49930,0.87541
2.14441,-5.04226,1.37588
-1.85250,-3.50338,-2.83339
2.99648,-4.54708,0.68121
-2.79107,-1.49174,-3.63517
-5.81719,5.06744,-7.04370
-5.11905,5.64917,-6.92692
1.92537,12.11428,0.64130
-4.37544,-4.91100,-6.79237
-5.51096,-4.46692,-6.59713
-4.62573,-4.85135,-7.03863
-0.63527,-6.21823,-2.97564
-0.40342,-5.62220,-2.62799
-0.53881,-4.97791,-2.68526
2.04010,-4.76922,0.75741
3.12374,-6.59238,1.17304
2.95060,-4.93781,1.07003
0.76054,0.68548,-0.40184
-4.54299,3.53344,-7.00408
2.11931,4.07571,-0.56137
-2.52358,8.69052,-5.34428
1.42758,10.19790,0.01296
-4.09508,-5.16521,-7.96204
-4.21248,-3.93545,-7.36559
-4.06054,-5.08071,-7.39528
-0.40789,-7.33896,-2.79640
-0.58508,-5.27885,-2.89595
-0.00455,-5.11771,-3.06047
2.43778,-4.58420,0.50062
3.58460,-4.70857,0.98720
3.77328,-5.02294,0.84291
3.86969,-2.02203,1.28212
-3.66252,3.01141,-7.98325
-4.33845,3.06384,-7.47520
-3.97473,5.03139,-7.30691
-0.88653,3.90916,-3.90795
0.23450,6.58187,-2.96130
0.10844,5.02664,-2.96479
-2.03628,-6.04048,-6.78557
-3.23943,-4.77724,-7.40816
-3.28242,-5.04941,-7.57240
-0.54265,-6.23973,-2.89492
0.88608,-5.43726,-3.27175
0.64823,-4.95576,-3.28692
2.85662,-5.02871,1.10581
3.78350,-5.18517,0.97641
4.31395,-5.09080,0.53453
-3.82095,5.45105,-8.01356
-2.76983,5.19448,-7.74841
-3.12384,5.05925,-7.56639
-0.16099,5.28113,-2.55706
0.72110,3.71545,-3.61060
0.68167,5.00583,-3.15909
0.32029,8.56095,-3.85332
0.06661,12.72502,-3.00818
-2.97490,-4.80116,-6.85981
-2.92635,-4.44321,-7.93349
-2.71631,-4.82934,-7.90352
4.17804,-5.48478,0.97580
5.48498,-3.81077,0.63522
4.92229,-4.88885,0.36983
3.99117,-3.94409,-1.73916
-2.47447,6.76481,-8.16677
-3.04591,4.92422,-7.76068
-2.57806,5.12712,-7.81243
0.66664,10.62493,-3.37387
-1.67372,-5.73053,-8.14296
-2.00916,-5.39246,-7.96472
-1.91526,-5.01498,-8.05891
5.53636,-4.47548,0.58296
5.81501,-4.50562,0.07087
5.80866,-5.08450,0.12299
-1.94146,0.56161,-8.00103
-0.61401,5.19556,-7.70950
-2.01064,4.86661,-7.82048
-1.76675,5.09533,-8.11993
0.57103,8.03348,-5.15162
-1.36691,-3.40820,-8.32690
-0.73743,-3.97036,-8.26084
-1.42559,-5.15202,-8.43856
6.80764,-5.66971,-0.84324
6.55421,-4.64194,-0.34322
6.29785,-5.02160,-0.12855
-1.29783,3.83868,-8.58098
-1.18532,3.79370,-8.60692
-1.25158,4.96187,-8.37434
0.89383,6.65088,-3.80065
5.33625,6.54216,-0.68243
0.19403,6.88110,-7.07815
-0.44130,-4.57844,-8.48567
-0.19567,-5.27864,-8.43410
-0.54791,-4.72728,-8.55011
7.92659,-5.79618,0.20257
6.27277,-4.41133,-0.45701
7.05269,-4.93557,-0.32308
6.15865,2.40340,-1.12082
-0.86487,5.32813,-7.99156
0.15469,4.72482,-8.92982
-0.37256,5.04013,-8.61085
5.40429,6.75413,-1.16016
5.60616,6.36040,-2.09489
7.80994,11.18100,-0.92020
0.05456,-5.93262,-9.51795
0.68079,-4.05499,-9.15708
0.14790,-5.09367,-8.89234
2.64593,-6.28219,-4.68944
7.07872,-6.15026,-0.58909
7.20358,-5.37011,-0.48530
7.77386,-4.97370,-0.62194
6.54252,-4.94234,-2.25635
-0.97957,4.59361,-9.76999
-0.43786,3.05880,-8.85353
0.19868,4.91549,-8.77481
1.34667,11.07665,-6.60794
4.19347,10.52028,-4.89852
0.74408,-5.51120,-8.86621
0.91773,-4.32433,-9.22410
0.76519,-4.86123,-9.12285
7.91780,-2.59741,-1.32110
8.19501,-6.27180,-1.20810
8.46179,-4.91590,-0.77790
3.96232,-2.45330,-5.81071
0.29851,1.38338,-8.88057
0.08362,6.86014,-8.87132
0.58902,4.71121,-8.86187
0.92289,5.00055,-9.04671
7.83847,4.84730,-0.58449
2.13138,6.21744,-7.82421
1.89238,11.61649,-8.21791
6.68629,13.79815,-1.90721
1.51392,-5.87816,-9.04587
1.55062,-4.93451,-9.52472
1.62089,-4.85575,-9.33895
9.20609,-4.32718,-0.44086
9.55921,-2.69872,-1.09541
9.24178,-4.83640,-1.14001
3.12596,-2.87252,-7.84687
4.41488,-1.26458,-5.89402
9.03075,1.75391,-1.42717
2.46680,4.00815,-7.90562
0.00638,3.22330,-9.66540
1.20862,2.77769,-9.57943
1.47995,5.17890,-9.36106
4.07723,-4.04784,-10.45814
2.27317,-5.37021,-9.30849
2.18236,-5.08736,-9.56301
1.94712,-5.83744,-9.92248
2.49019,-4.88395,-9.33614
2.67817,-4.97989,-9.15858
3.21478,-4.88610,-8.83914
3.57701,-5.04657,-8.82164
2.96272,-4.65087,-8.77174
3.24198,-4.82327,-7.92263
3.18443,-5.24606,-8.29337
3.55646,-4.99386,-8.29772
2.99769,-5.69435,-7.70268
4.24168,-4.19109,-8.16287
3.74522,-5.00067,-7.85320
2.91900,-3.42657,-7.11728
3.58082,-3.29614,-7.56657
4.18706,-5.08350,-7.48323
4.22557,-5.46843,-6.41753
4.34370,-4.10006,-6.99337
4.61469,-5.06362,-6.92098
5.49532,-6.43990,-5.49455
5.23767,-6.50010,-6.46375
4.94197,-4.99739,-6.58358
5.51848,-4.63508,-5.80983
5.17169,-3.49471,-5.97568
5.44171,-4.97408,-6.11337
5.78482,-3.44178,-5.97359
6.06598,-4.83197,-6.02253
5.77654,-4.97704,-5.69412
6.61438,-4.94492,-5.95511
6.62685,-6.26883,-4.98336
6.36321,-4.98020,-5.20468
7.85145,-4.78014,-5.42656
7.24025,-4.91487,-4.93207
6.65981,-4.93059,-4.82027
6.51038,-4.73924,-3.80980
7.17310,-5.41327,-4.71128
7.11399,-4.89507,-4.42064
8.10891,-6.05115,-3.23224
7.68395,-5.73741,-3.94808
7.43840,-5.18496,-3.92199
7.81338,-6.44303,-2.93435
8.39498,-5.34158,-3.39143
7.76718,-4.97022,-3.49037
8.20171,-6.44036,-3.26770
7.90139,-3.96732,-2.81409
8.24914,-5.01019,-3.01123
9.13248,-6.04996,-3.47202
8.72945,-3.71061,-2.77858
8.48734,-5.05285,-2.57965
9.14011,-5.27477,-2.23796
8.76133,-6.15827,-1.68122
9.10359,-4.88431,-2.25073
8.69981,-5.43879,-1.36779
9.76456,-6.05253,-1.51397
9.49109,-4.92865,-1.71807
9.90384,-4.42628,-1.43276
10.17012,-6.41744,-1.22105
9.91152,-5.15631,-1.31582
2.41607,-3.26792,-9.37880
2.45268,-2.92998,-9.39516
2.15991,-4.11505,-9.54504
11.13248,-4.05732,-1.08615
9.17552,-4.69025,-1.31364
9.88575,-4.15883,-1.37770
3.30708,-2.88549,-9.57422
2.56227,-1.83395,-9.35688
2.29925,-2.95345,-9.54144
7.14595,-2.75228,-3.65660
10.10905,-3.62753,-1.72315
9.88781,-5.07757,-1.25137
9.79679,-3.19447,-1.33334
3.36087,-1.52474,-9.94572
2.09076,-2.15850,-9.66260
2.18652,-1.89434,-9.51977
10.26263,-1.13158,-1.68466
8.62365,-1.93046,-1.47087
9.92046,-2.88935,-1.10012
9.82840,-1.88425,-1.35321
1.06279,-2.22831,-9.08058
1.50048,-1.12727,-9.75936
2.26564,-1.02784,-9.47714
10.18406,0.56259,-1.28901
9.43484,-0.99623,-1.29242
9.79211,-0.99644,-1.25601
3.10664,-0.45795,-9.93840
1.73713,0.08610,-9.47912
2.19083,-0.14606,-9.51760
8.55194,-0.10418,-1.61234
9.85385,-0.48470,-1.18287
9.76825,-0.25920,-1.30706
2.63397,1.72710,-10.13315
2.25676,2.30762,-9.54876
2.27249,0.99456,-9.60038
9.71038,3.71797,-1.20868
10.00226,1.13127,-1.65395
9.91393,0.88376,-1.35141
0.68823,2.70707,-9.12299
2.33061,0.85461,-9.30191
2.35576,1.95570,-9.52064
11.30895,0.86228,-1.28710
8.88126,1.73626,-1.35236
9.83657,2.04838,-1.44605
1.28168,3.29513,-9.81056
2.26531,2.00675,-10.31195
2.25305,3.07341,-9.54746
8.66896,2.90979,-1.37188
10.24329,2.40653,-1.40078
9.89663,3.07403,-1.36067
1.72635,3.96516,-10.09262
2.92744,4.90925,-9.48541
2.12542,4.13814,-9.69315
3.67539,3.71700,-8.75600
2.34944,3.16975,-8.92995
2.69536,4.02155,-9.11277
2.76856,3.79353,-8.55142
3.08578,3.66172,-8.79454
2.97199,4.07367,-8.77717
2.66730,2.55825,-7.98194
3.40769,5.55550,-7.64614
3.39483,4.17497,-8.24981
4.00722,4.79524,-7.58849
4.33003,2.61547,-7.55655
3.87597,3.96489,-7.82601
5.70123,3.00765,-6.56737
4.70740,3.95906,-7.03795
4.17579,3.93655,-7.40406
4.49439,3.07654,-6.68739
3.98801,5.81674,-7.27813
4.64126,4.09991,-6.92954
5.77707,3.09063,-6.49545
5.47083,4.25964,-6.89726
4.94746,4.01549,-6.51776
6.56029,3.45522,-5.80027
5.25357,2.98305,-5.58496
5.49377,4.01526,-6.06540
5.71919,4.43708,-5.85739
6.22843,4.29109,-5.71387
5.91213,4.16662,-5.69926
6.36914,4.72569,-4.78064
5.68561,3.84015,-5.33441
6.19008,3.89434,-5.28521
6.99635,3.37508,-4.23615
6.69101,3.47251,-5.26761
6.58265,4.09216,-4.80676
6.16389,2.94255,-4.06309
6.92469,2.90101,-4.07920
7.04585,3.97006,-4.38350
8.15285,3.07096,-3.43088
7.26861,3.38954,-3.69370
7.41210,3.89640,-4.01890
8.89271,4.01010,-3.30079
8.03760,2.79150,-3.43570
7.80762,4.03134,-3.60330
8.00346,3.94832,-3.86282
8.13581,5.28221,-2.82285
8.27807,3.91711,-3.05657
9.15098,3.58343,-2.70520
8.31869,1.79962,-2.72779
8.66728,3.89430,-2.59640
9.44908,4.83502,-3.08886
9.72815,3.77160,-2.75956
8.95413,3.95218,-2.21048
9.37078,5.82962,-1.27339
9.42527,3.29086,-1.66705
9.48762,3.99985,-1.85078
11.90692,3.55666,-1.14244
10.02325,3.77250,-1.35412
9.80783,3.93656,-1.42726
1.71546,4.36627,-9.87075
2.40152,5.49725,-9.59617
2.23064,4.89209,-9.70333
6.00705,3.87247,-5.25155
6.45144,5.80199,-5.10919
6.14652,5.02804,-5.22323
3.83576,2.15753,-9.79739
2.53779,5.61356,-9.35343
2.10533,5.90806,-9.57450
5.28413,6.31020,-5.28071
6.88292,6.49160,-5.20209
6.70126,5.85025,-4.80474
3.50738,6.61404,-8.98364
2.24312,8.20340,-9.42494
2.01411,7.07970,-9.49724
7.92680,6.44007,-4.19160
7.53955,6.98600,-4.27983
7.01019,6.81062,-4.24369
2.13251,6.65694,-9.90716
1.95439,8.61632,-9.52332
2.31279,7.84714,-9.56056
6.32048,9.00821,-3.78196
6.74762,7.84794,-4.08513
7.40101,8.07294,-3.96562
2.06758,8.63726,-10.08936
1.75218,8.77954,-9.52335
2.20281,9.06525,-9.54739
8.96572,8.16798,-3.78885
7.99308,12.38804,-3.15612
7.82693,8.92639,-3.47652
1.31230,11.70187,-10.05460
2.23478,9.99863,-9.57648
2.31847,10.11079,-9.59825
8.40952,10.85596,-4.35908
8.63051,10.03617,-3.21690
8.09511,9.93017,-2.99519
0.95686,11.22645,-9.87010
2.27415,10.79030,-9.29070
2.25170,11.11662,-9.57584
7.02640,10.33700,-3.12769
8.56596,10.19449,-3.02256
8.65385,10.97902,-2.60234
2.06078,11.27732,-10.27183
1.51927,11.78839,-9.74968
2.27036,11.90945,-9.53898
7.39343,12.54694,-4.81973
6.69567,11.74940,-2.33587
9.10172,10.66241,-2.13938
9.13217,11.95918,-2.30995
2.53240,11.79308,-9.45313
2.98247,14.92416,-9.59960
2.27995,12.75385,-9.63901
5.25689,12.48123,-6.15268
9.98710,13.71519,-1.62776
9.32508,12.29297,-1.91285
9.36380,13.10093,-1.81728
1.35206,14.69615,-10.21154
2.50427,13.23948,-9.78654
2.19919,13.96210,-9.52266
9.18609,13.21232,-1.95745
9.94577,12.87493,-1.32446
9.73704,14.02113,-1.35240
